Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Fwd Header Len,Bwd Header Len,Pkt Len Mean,Pkt Len Std,Pkt Len Var
192.168.85.228-192.168.85.99-53095-53-6,192.168.85.228,53095,192.168.85.99,53,6,282101,5,6,36,64,34,0,7.2,15.00666519,63,0,10.66666667,25.64111282,354.4829689,38.99312658,100,144,8.333333333,19.76375624,390.6060606
192.168.85.228-192.168.85.99-53096-53-6,192.168.85.228,53096,192.168.85.99,53,6,281900,5,6,36,52,34,0,7.2,15.00666519,51,0,8.666666667,20.74287026,312.1674353,39.02092941,100,144,7.333333333,16.83250823,283.3333333
192.168.85.228-192.168.85.99-53097-53-6,192.168.85.228,53097,192.168.85.99,53,6,281719,5,6,36,93,34,0,7.2,15.00666519,92,0,15.5,37.47932764,457.9030878,39.04599974,100,144,10.75,27.36661868,748.9318182
192.168.85.228-192.168.85.99-53101-53-6,192.168.85.228,53101,192.168.85.99,53,6,282493,5,6,40,86,38,0,8,16.79285562,85,0,14.33333333,34.62176579,446.0287512,38.93901796,100,144,10.5,25.8509715,668.2727273
192.168.85.228-192.168.85.99-53100-53-6,192.168.85.228,53100,192.168.85.99,53,6,283085,5,6,40,98,38,0,8,16.79285562,97,0,16.33333333,39.52045884,487.4860908,38.85758694,100,144,11.5,29.03133104,842.8181818
192.168.85.228-192.168.85.99-53102-53-6,192.168.85.228,53102,192.168.85.99,53,6,301891,5,6,40,127,38,0,8,16.79285562,126,0,21.16666667,51.35919262,553.1797901,36.43699216,100,144,13.91666667,36.92857562,1363.719697
192.168.85.228-3.160.188.117-53034-443-6,192.168.85.228,53034,3.160.188.117,443,6,30419610,1,3,0,0,0,0,0,0,0,0,0,0,0,0.131494125,20,84,0,0,0
192.168.85.228-18.161.216.67-53080-443-6,192.168.85.228,53080,18.161.216.67,443,6,30249638,1,3,0,0,0,0,0,0,0,0,0,0,0,0.132232987,20,84,0,0,0
192.168.85.228-99.86.19.202-53093-443-6,192.168.85.228,53093,99.86.19.202,443,6,30493645,1,3,0,0,0,0,0,0,0,0,0,0,0,0.131174873,20,84,0,0,0
192.168.85.228-99.86.19.202-53091-443-6,192.168.85.228,53091,99.86.19.202,443,6,30493797,1,3,0,0,0,0,0,0,0,0,0,0,0,0.131174219,20,84,0,0,0
192.168.85.228-99.86.19.202-53094-443-6,192.168.85.228,53094,99.86.19.202,443,6,30493260,1,3,0,0,0,0,0,0,0,0,0,0,0,0.131176529,20,84,0,0,0
192.168.85.228-99.86.19.202-53094-443-6,192.168.85.228,53094,99.86.19.202,443,6,987,0,2,0,0,0,0,0,0,0,0,0,0,0,2026.342452,0,40,0,0,0
